
अंकल (m)	 uncle
मोटा	 fat; thick; coarse
मोड़ (m)	 turn; bend
मोती (m)	 pearl
मोर (m)	 peacock
मौका (m)	 chance; opportunity
मौसम (m)	 weather
यकीन (m)	 confidence; faith
यदि	 if
यद्यपि yadyapi	 although
यह	 he; she; it; this
यहाँ	 here
यहीं	 right here; in this very place
या	 or
यात्रा (f)	 journey; travel
यात्री (m)	 traveller; passenger
याद (f)	 memory
यानी	 that is to say
यार (m)	 friend (especially vocative)
यू.पी. (m)	 UP; Uttar Pradesh
ये	 these; they; he; she (formal)
योजना (f)	 plan; scheme
रंग (m)	 colour
रखना	 to put; to keep
रवानी (f)	 fluency
रविवार (m)	 Sunday
रसोईघर (m)	 kitchen
रस्सी (f)	 string; cord
रहना	 to stay; remain; live
राजधानी (f)	 capital
राजस्थान (m)	 Rajasthan
राजा (m)	 king
राजी	 agreeable; content
रात (f)	 night
रामायण (f)	 Ramayan (epic poem)
राय (f)	 opinion
रिक्शा (m)	 rickshaw
रिश्तेदार (m)	 relative
रुकना	 to stop; to stay on
रुपया (m)	 rupee; money
रूबरू	 face to face
रूसी	 Russian
रे	 eh; oh; hey (interjection)
रेडियो (m)	 radio
रेलगाड़ी (f)	 train
रेशम (m)	 silk
रोकना	 to stop
रोज़	 everyday; daily
रोटी (f)	 bread; food
रोना	 to weep; cry
रोशनी (f)	 light
लंदन (m)	 London
लंबा	 tall; high
लंबाई (f)	 height; length
लकड़ी (f)	 wood; stick
लखनऊ (m)	 Lucknow
लखपति (m)	rich man; 'millionaire'
लगना	 to strike; to appeal; to seem; to catch (of illness; fire); to be related; attached; to gather (of crowds); to be expended (of time); to begin to
लगाना	 to apply; affix
लड़का (m)	 boy
लड़की (f)	 girl
लड़ना (से)	 to fight; quarrel
लदना	 to be loaded
लहसुन (m)	 garlic
लाख (m)	 hundred thousand
लाजवाब	 beyond compare
लाठी (f)	 lathi; stick
लादना	 to load
लाना	 to bring
लाभ (m)	 profit; advantage
लायक़	 worth (doing)
लाल	 red
लिखना	 to write
लिटाना	 to make lie down
लिपि (f)	 script; alphabet
लिफ़ाफ़ा (m)	 envelope
लूटना	 to loot; steal
लेआना	 to bring
ले जाना	 to take away
लेकिन	 but
लेटना	 to lie; recline
लेख (m)	 article (written)
लेखक (m)	 writer
लेना	 to take; receive
लेना-देना	 dealings; connection
लोकप्रिय	 popular
लोग (m)	 people
लोट-पोट	 rolling; helpless (with laughter)
लौटना	 to return
वक़्त (m)	 time
वगैरह	 and so on; etc.
वजह (f)	 reason; cause
वर्णन (m)	 description
वर्णन करना	 to describe
वर्ष (m)	 year
वह	 he; she; it; that
वहाँ	 there
वहीं	 right there; in that very place
वाक्य (m)	 sentence
वापस	 back
वापस आना	 to come back
वापस जाना	 to go back
वापस मिलना	 to be got back
वापस लेना	 to take back
वाराणसी (f)	 Varanasi; Banaras
वाला	suffix identifying a 'doer' or agent (e.g.; चलानेवाला
वाह	 wonderful (expresses admiration or scorn)
विचार (m)	 thought; idea; opinion
विदेश (m)	 foreign country; abroad
विदेशी (m)	 foreigner
विद्यार्थी (m)	 student
विलंब (m)	 delay
विवाह (m)	 marriage; wedding
विषय (m)	 subject
विशेष	 particular
विश्वविद्यालय (m)	 university
विश्वास (m)	 belief; confidence
विस्तार से	 at length; in detail
वे	 those; they; he; she (formal)
वेतन (m)	 pay; salary
वैर (m)	 hostility
वैसे	 actually; in fact
व्यंग्य (m)	 sarcasm
व्यक्ति (m)	 person; individual
व्यक्तिगत रूप से	 personally
व्यवस्था (f)	 arrangement
शंका (f)	 doubt; suspicion
शक्ति (f)	 power
शख्स (m)	 individual; fellow
शनिवार (m)	 Saturday
शब्द (m)	 word
शब्दकोश (m)	 dictionary
शराब (f)	 alcoholic drink
शराबी (m)	 drunkard
शरारत (f)	 mischief
शर्म (f)	 shame
शर्म आना	 to feel ashamed
शहर (m)	 town; city
शादी (f)	 marriage; wedding
शादी करना	 to marry (someone) to (someone)
शादी होना	 to get married
शादी-शुदा	 married (invariable)
शानदार	 magnificent
शाबाश	 well done! bravo!
शाम (f)	 evening
शायद	 perhaps
शिकायत (f)	 complaint
शिकायत करना	 to complain
शिष्य (m)	 disciple
शीघ्र	 soon; quickly
शुक्रवार (m)	 Friday
शुक्रिया	 thank you
शुद्ध	 pure; unmixed
शुरू (m)	 beginning
शुरू करना	 to begin (something)
शुरू होना	 (something) to begin
शूटिंग (f)	 shooting; filming
शैतान (m)	 devil
श्रावण (m)	 Shravan (monsoon month; July-August)
श्री (m)	 Mr; Lord (with deity)
श्रीमती (f)	 Mrs
संतुष्ट	 satisfied
संतोष (m)	 satisfaction
संभव	 possible
संस्कृत (f)	 Sanskrit
सकना	 (after verb stem) to be able
सख्त	 stern; strict; intense
सड़क (f)	 street; road
सच	 true
सचमुच	 really
सदस्य (m)	 member
सदा	 always; ever
सन् (m)	 year (of calendar; era)
सपना (m)	 dream
सपना देखना	 to dream; have a dream
सप्ताह (m)	 week
सफ़र (m)	 journey; travel
सफल	 successful; fruitful
सफलता (f)	 success
सफ़ाई (f)	 cleaning
सफ़ेद	 white
सब	 everything; all
सब कुछ	 everything
सब्जी (f)	 vegetable(s)
समझ (f)	 understanding
समझ में आना	 to be understood
समझना	 to understand; consider; reckon
समझाना	 to explain; to console
समय (m)	 time
समस्या (f)	 problem
समाचार (m)	 news
समाचारपत्र (m)	 newspaper
समाप्त	 finished; concluded
समुद्र (m)	 sea; ocean
समोसा (m)	 samosa
सर (m)	 sir
सरकार (f)	 government
सरकारी	 governmental
सरल	 simple
सलवार क़मीज़ (f)	 salwar kameez
सलाह (f)	 advice
सवा	 one and a quarter
सवाल (m)	 question
सवेरा (m)	 early morning
सस्ता	 cheap
सहमत (मैं आपसे सहमत हूं)	 in agreement (i am in agreement with you)
सही	 true; correct
तो सही	 for sure
सहेली (f)	girl's female friend
साँस (f)	 sigh
ठंडी साँस भरना	 to heave a deep sigh
सा	 like;
साइकिल (f)	 bicycle
साड़ी (f)	 sari
साढ़े	 plus a half
सात	 seven
साथ	 along; with; in company
साथ साथ	 together
साथी (m)	 companion; friend
साधन (m)	 means
साधारण	 ordinary
साफ़	 clean; clear; clearly
साफ़ करना	 to clean
साबुन (m)	 soap
सामान (m)	 furniture; things; luggage
सारा	 all; whole
साल (m)	 year
साला (m)	wife's brother; term of abuse
सावधानी (f)	 care
सावन (m)	 (see श्रावण)
साहब (m)	 Mr; sir
साहित्य (m)	 literature
सिगरेट (f)	 cigarette
सितार (m)	 sitar
सितारा (m)	 star
सिनेमा (m)	 cinema
सिर (m)	 head
सिर खाना	 to plague; pester
सिर्फ़	 only
सिलवाना	 to cause to be sewn
सिलसिला (m)	 connection
के सिलसिले में	 in connection with
सीखना	 to learn
सीट (f)	 seat
सीढ़ी (f)	 stair; step; staircase
सीधा	 straight; straightforward
सीधे	 straight; to the right
सुझाव (m)	 suggestion
सुझाव देना	 to make a suggestion
सुधरना	 to improve; be put right
सुधारना	 to improve; put right
सुनना	 to listen; hear
सुनाई देना/पड़ना	 to be heard; be audible
सुनाना	 to relate; tell; recite; sing
सुंदर	 beautiful
सुबह (f)	 morning
सुलाना	 to make sleep
सूझना	 to occur to the mind
सूरज (m)	 sun
से	 by; since; from; with
से पहले	 before
सेब (m)	 apple
सैंतालीस	 forty-seven
सैकड़ा (m)	 a hundred
सैर (f)	 walk; trip
सैर करना	 to go for a walk/trip
सो	 he; she; it (archaic)
सोचना	 to think
की [बात] सोचना	 to think of doing
सोना¹ (m)	 gold
सोना²	 to sleep
सोमवार (m)	 Monday
सोलह	 sixteen
सौ	 hundred
स्टेशन (m)	 station
स्थायी रूप से	 permanently
स्थिति (f)	 situation
स्नान (m)	 bathing; ritual bathing
स्वभाव (m)	 nature; disposition
स्वयं	 oneself
स्वर्ग (m)	 heaven
स्वादिष्ट	 tasty
स्वीकार करना	 to accept
हँसना	 to laugh
हँसाना	 to make laugh
हँसी-मज़ाक (m)	 laughter; fun; joking
हज़ार (m)	 thousand
हड़ताल (f)	 strike; lockout
हड़ताल करना	 to strike
हफ्ता (m)	 week
हम	 we; us
हमारा	 our; ours
हमेशा	 always
हर/हरेक	 each; every
हर कोई	 everyone
हल (m)	 solution
हल होना	 to be solved
हलो/हैलो	 hello
हवा (f)	 air
हवाई जहाज़ (m)	 aeroplane
हवाई डाक (f)	 airmail
हवादार	 airy
हाँ	 yes
हाथ (m)	 hand
हाथ आना	 to come to hand
हाथ बँटाना	 to lend a hand
हाथ मिलाना	 to join hands; shake hands
हाल (m)	 condition; state
हालत (f)	 state; condition
हालाँकि	 although
हिन्दी (f)	 Hindi
हिन्दुस्तानी	 Indian
हिन्दू (m)	 Hindu
हिलना	 to move; stir
ही	 only; (emphatic particle)
हीरो (m)	 hero; male film star
हूँ	 am
है	 oh!
है	 is
हैं	 are; is (honorific)
होंठ (m)	 lip
हो	 are
होटल (m)	 hotel; café
होनहार	 promising
होना	 to be; become; happen
से होकर	 via
होली (f)	 Holi (springtime festival of colors)
होल्ड करना	 to hold (phone line)
होशियार	 clever; intelligent
ह्विस्की (f)	 whisky
तीखा (लगना)	feels spicy
मुस्कान (f)	the smile 
